participant,device,phase,n,N
3115,CD1C,play,54,22.5
3115,CD1C,sf,23,25.555555555555554
3115,CD2B,play,43,17.916666666666668
3115,CD2B,sf,10,11.11111111111111
3115,CD2B,reunion,11,4.583333333333333
3125,CD1C,play,8,3.3333333333333335
3125,CD1C,sf,9,10
3125,CD1C,reunion,3,1.25
3125,CD2B,play,5,2.083333333333333
3125,CD2B,sf,11,12.222222222222221
3125,CD2B,reunion,7,2.9166666666666665
3128,CD1C,play,13,5.416666666666667
3128,CD1C,sf,14,15.555555555555555
3128,CD1C,reunion,11,4.583333333333333
3128,CD2B,play,6,2.5
3128,CD2B,sf,7,7.777777777777778
3128,CD2B,reunion,12,5
3143,CD1C,play,5,2.083333333333333
3143,CD1C,sf,5,5.555555555555555
3143,CD1C,reunion,9,3.75
3143,CD2B,play,7,2.9166666666666665
3143,CD2B,sf,8,8.88888888888889
3143,CD2B,reunion,12,5
3154,CD1C,play,6,2.5
3154,CD1C,sf,3,3.3333333333333335
3154,CD1C,reunion,16,6.666666666666667
3154,CD2B,play,6,2.5
3154,CD2B,sf,7,7.777777777777778
3154,CD2B,reunion,15,6.25
3155,CD1C,play,5,2.083333333333333
3155,CD1C,sf,10,11.11111111111111
3155,CD1C,reunion,22,9.166666666666666
3155,CD2B,play,6,2.5
3155,CD2B,sf,13,14.444444444444443
3155,CD2B,reunion,24,10
3158,CD1C,play,5,2.083333333333333
3158,CD1C,sf,4,4.444444444444445
3158,CD1C,reunion,5,2.083333333333333
3158,CD2B,play,9,3.75
3158,CD2B,sf,5,5.555555555555555
3158,CD2B,reunion,19,7.916666666666666
3161,CD1C,play,1,0.4166666666666667
3161,CD1C,sf,2,2.2222222222222223
3161,CD1C,reunion,14,5.833333333333333
3161,CD2B,play,2,0.8333333333333334
3161,CD2B,sf,2,2.2222222222222223
3161,CD2B,reunion,3,1.25
3164,CD1C,play,9,3.75
3164,CD1C,sf,6,6.666666666666667
3164,CD1C,reunion,24,10
3164,CD2B,play,10,4.166666666666666
3164,CD2B,sf,8,8.88888888888889
3164,CD2B,reunion,19,7.916666666666666
3165,CD2B,sf,2,2.2222222222222223
3165,CD2B,reunion,4,1.6666666666666667
3169,CD1C,play,4,1.6666666666666667
3169,CD1C,sf,7,7.777777777777778
3169,CD1C,reunion,14,5.833333333333333
3169,CD2B,play,6,2.5
3169,CD2B,sf,5,5.555555555555555
3169,CD2B,reunion,14,5.833333333333333
3170,CD1C,play,26,10.833333333333334
3170,CD1C,sf,2,2.2222222222222223
3170,CD2B,play,18,7.5
3171,CD1C,sf,2,2.2222222222222223
3171,CD1C,reunion,8,3.3333333333333335
3171,CD2B,play,7,2.9166666666666665
3171,CD2B,sf,4,4.444444444444445
3171,CD2B,reunion,15,6.25
3172,CD1C,play,3,1.25
3172,CD1C,sf,8,8.88888888888889
3172,CD1C,reunion,7,2.9166666666666665
3172,CD2B,play,10,4.166666666666666
3172,CD2B,sf,6,6.666666666666667
3176,CD1C,play,4,1.6666666666666667
3176,CD1C,sf,6,6.666666666666667
3176,CD1C,reunion,12,5
3176,CD2B,play,3,1.25
3176,CD2B,sf,3,3.3333333333333335
3176,CD2B,reunion,9,3.75
3180,CD1C,play,9,3.75
3180,CD1C,sf,10,11.11111111111111
3180,CD1C,reunion,7,2.9166666666666665
3180,CD2B,play,7,2.9166666666666665
3180,CD2B,sf,4,4.444444444444445
3180,CD2B,reunion,7,2.9166666666666665
3181,CD1C,reunion,5,2.083333333333333
3181,CD2B,reunion,1,0.4166666666666667
3184,CD1C,play,4,1.6666666666666667
3184,CD1C,sf,9,10
3184,CD1C,reunion,6,2.5
3184,CD2B,play,6,2.5
3184,CD2B,sf,12,13.333333333333334
3184,CD2B,reunion,14,5.833333333333333
3185,CD1C,play,2,0.8333333333333334
3185,CD1C,sf,10,11.11111111111111
3185,CD1C,reunion,11,4.583333333333333
3185,CD2B,play,8,3.3333333333333335
3185,CD2B,sf,7,7.777777777777778
